Date,Year,Host City,Winner,Song,Performer,Points,Margin,Runner-up
24-May,1956,Lugano,Switzerland,"""Refrain""",Lys Assia,Not announced,Not announced,Not announced
3-Mar,1957,Frankfurt,Netherlands,"""Net als toen""",Corry Brokken,31,14,France
12-Mar,1958,Hilversum,France,"""Dors, mon amour""",Andr_ Claveau,27,3,Switzerland
11-Mar,1959,Cannes,Netherlands,"""Een beetje""",Teddy Scholten,21,5,United Kingdom
29-Mar,1960,London,France,"""Tom Pillibi""",Jacqueline Boyer,32,7,United Kingdom
18-Mar,1961,Cannes,Luxembourg,"""Nous les amoureux""",Jean-Claude Pascal,31,7,United Kingdom
18-Mar,1962,Luxembourg,France,"""Un premier amour""",Isabelle Aubret,26,13,Monaco
23-Mar,1963,London,Denmark,"""Dansevise""",Grethe and JÀrgen Ingmann,42,2,Switzerland
21-Mar,1964,Copenhagen,Italy,"""Non ho l'etö""",Gigliola Cinquetti,49,32,United Kingdom
20-Mar,1965,Naples,Luxembourg,"""Poup_e de cire, poup_e de son""",France Gall,32,6,United Kingdom
5-Mar,1966,Luxembourg,Austria,"""Merci, Ch_rie""",Udo JÙrgens,31,15,Sweden
8-Apr,1967,Vienna,United Kingdom,"""Puppet on a String""",Sandie Shaw,47,25,Ireland
6-Apr,1968,London,Spain,"""La, la, la""",Massiel,29,1,United Kingdom
29-Mar,1969,Madrid,Spain,"""Vivo cantando""",Salom_,18,No runner-up,No runner-up
29-Mar,1969,Madrid,United Kingdom,"""Boom Bang-a-Bang""",Lulu,18,No runner-up,No runner-up
29-Mar,1969,Madrid,Netherlands,"""De troubadour""",Lenny Kuhr,18,No runner-up,No runner-up
29-Mar,1969,Madrid,France,"""Un jour, un enfant""",Frida Boccara,18,No runner-up,No runner-up
21-Mar,1970,Amsterdam,Ireland,"""All Kinds of Everything""",Dana,32,6,United Kingdom
3-Apr,1971,Dublin,Monaco,"""Un banc, un arbre, une rue""",S_verine,128,12,Spain
25-Mar,1972,Edinburgh,Luxembourg,"""Apr�s toi""",Vicky Leandros,128,14,United Kingdom
7-Apr,1973,Luxembourg,Luxembourg,"""Tu te reconnaÓtras""",Anne-Marie David,129,4,Spain
6-Apr,1974,Brighton,Sweden,"""Waterloo""",ABBA,24,6,Italy
22-Mar,1975,Stockholm,Netherlands,"""Ding-a-dong""",Teach-In,152,14,United Kingdom
3-Apr,1976,The Hague,United Kingdom,"""Save Your Kisses for Me""",Brotherhood of Man,164,17,France
7-May,1977,London,France,"""L'oiseau et l'enfant""",Marie Myriam,136,15,United Kingdom
22-Apr,1978,Paris,Israel,"""A-Ba-Ni-Bi""(_-_-__-__)",Izhar Cohenand theAlphabeta,157,32,Belgium
31-Mar,1979,Jerusalem,Israel,"""Hallelujah""(______)",Gali AtariandMilk and Honey,125,9,Spain
19-Apr,1980,The Hague,Ireland,"""What's Another Year""",Johnny Logan,143,15,Germany
4-Apr,1981,Dublin,United Kingdom,"""Making Your Mind Up""",Bucks Fizz,136,4,Germany
24-Apr,1982,Harrogate,Germany,"""Ein bi¤chen Frieden""",Nicole,161,61,Israel
23-Apr,1983,Munich,Luxembourg,"""Si la vie est cadeau""",Corinne Herm�s,142,6,Israel
5-May,1984,Luxembourg,Sweden,"""Diggi-Loo Diggi-Ley""",Herreys,145,8,Ireland
4-May,1985,Gothenburg,Norway,"""La det swinge""",Bobbysocks!,123,18,Germany
3-May,1986,Bergen,Belgium,"""J'aime la vie""",Sandra Kim,176,36,Switzerland
9-May,1987,Brussels,Ireland,"""Hold Me Now""",Johnny Logan,172,31,Germany
30-Apr,1988,Dublin,Switzerland,"""Ne partez pas sans moi""",C_line Dion,137,1,United Kingdom
6-May,1989,Lausanne,Yugoslavia,"""Rock Me""",Riva,137,7,United Kingdom
5-May,1990,Zagreb,Italy,"""Insieme: 1992""",Toto Cutugno,149,17,Ireland
4-May,1991,Rome,Sweden,"""FÎngad av en stormvind""",Carola,146,0,France
9-May,1992,Malm_,Ireland,"""Why Me?""",Linda Martin,155,16,United Kingdom
15-May,1993,Millstreet,Ireland,"""In Your Eyes""",Niamh Kavanagh,187,23,United Kingdom
30-Apr,1994,Dublin,Ireland,"""Rock 'n' Roll Kids""",Paul HarringtonandCharlie McGettigan,226,60,Poland
13-May,1995,Dublin,Norway,"""Nocturne""",Secret Garden,148,29,Spain
18-May,1996,Oslo,Ireland,"""The Voice""",Eimear Quinn,162,48,Norway
3-May,1997,Dublin,United Kingdom,"""Love Shine a Light""",Katrina and the Waves,227,70,Ireland
9-May,1998,Birmingham,Israel,"""Diva""(_____)",Dana International,172,6,United Kingdom
29-May,1999,Jerusalem,Sweden,"""Take Me to Your Heaven""",Charlotte Nilsson,163,17,Iceland
13-May,2000,Stockholm,Denmark,"""Fly on the Wings of Love""",Olsen Brothers,195,40,Russia
12-May,2001,Copenhagen,Estonia,"""Everybody""","Tanel Padar,Dave Bentonand2XL",198,21,Denmark
25-May,2002,Tallinn,Latvia,"""I Wanna""",Marie N,176,12,Malta
24-May,2003,Riga,Turkey,"""Everyway That I Can""",Sertab Erener,167,2,Belgium
15-May,2004,Istanbul,Ukraine,"""Wild Dances""",Ruslana,280,17,Serbia and Montenegro
21-May,2005,Kiev,Greece,"""My Number One""",Helena Paparizou,230,38,Malta
20-May,2006,Athens,Finland,"""Hard Rock Hallelujah""",Lordi,292,44,Russia
12-May,2007,Helsinki,Serbia,"""Molitva""(_______)",Marija _erifovi_,268,33,Ukraine
24-May,2008,Belgrade,Russia,"""Believe""",Dima Bilan,272,42,Ukraine
16-May,2009,Moscow,Norway,"""Fairytale""",Alexander Rybak,387,169,Iceland
29-May,2010,Oslo,Germany,"""Satellite""",Lena,246,76,Turkey
14-May,2011,DÙsseldorf,Azerbaijan,"""Running Scared""",Ell & Nikki,221,32,Italy
26-May,2012,Baku,Sweden,"""Euphoria""",Loreen,372,113,Russia
18-May,2013,Malm_,Denmark,"""Only Teardrops""",Emmelie de Forest,281,47,Azerbaijan
10-May,2014,Copenhagen,Austria,"""Rise Like a Phoenix""",Conchita Wurst,290,52,Netherlands
23-May,2015,Vienna,Sweden,"""Heroes""",MÎns Zelmerl_w,365,62,Russia
14-May,2016,Stockholm,Ukraine,"""1944""",Jamala,534,23,Australia
13-May,2017,Kiev,Portugal,"""Amar pelos dois""",Salvador Sobral,758,143,Bulgaria
18-May,2018,Lisbon,Israel,"""Toy""",Netta,529,93,Cyprus